Total running time: 35620.84629
         18576279993 function calls (18576029687 primitive calls) in 35620.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000 8197.800    0.820 27943.895    2.794 oddstablesetmip_1.py:23(odd_weighted_stableset_1)
    10000 6329.220    0.633 13929.122    1.393 {cplex._internal.py27_cplex1270.Pylolmat_to_CHBmat}
    10000 4541.127    0.454 4544.396    0.454 {cplex._internal.py27_cplex1270.CPXXmipopt}
    10000 4335.892    0.434 7095.723    0.710 handle_to_teeth7.py:43(find_all_teeth2)
1530208024 3060.704    0.000 7599.903    0.000 _procedural.py:78(cpx_transcode)
6229981043 2542.596    0.000 2542.596    0.000 {method 'isdisjoint' of 'frozenset' objects}
1530208024 1861.486    0.000 1861.486    0.000 {_codecs.utf_8_decode}
1530208024 1347.627    0.000 1347.627    0.000 {method 'encode' of 'unicode' objects}
2295477574  724.649    0.000  724.649    0.000 {isinstance}
1530208024  672.849    0.000 2534.334    0.000 utf_8.py:15(decode)
        1  544.399  544.399 35599.057 35599.057 handle_to_teeth7.py:73(find_comb2)
765159012  355.746    0.000  423.091    0.000 _procedural.py:30(cpx_decode)
    10000  246.234    0.025  246.234    0.025 {cplex._internal.py27_cplex1270.CPXXaddrows}
    10000  240.611    0.024  919.575    0.092 _procedural.py:867(addrows)
761444673  207.271    0.000  207.271    0.000 {method 'add' of 'set' objects}
2302707098  194.493    0.000  194.493    0.000 {method 'append' of 'list' objects}
  6410001   24.089    0.000   24.089    0.000 _pycplex.py:37(_swig_setattr_nondynamic)
  4290000   15.437    0.000   49.279    0.000 _pycplex.py:1537(__init__)
  6410001   14.083    0.000   15.275    0.000 _pycplex.py:53(_swig_getattr)
  1650000   13.723    0.000  124.939    0.000 _parameter_classes.py:331(_get_info)
    40000   10.607    0.000   10.607    0.000 {cplex._internal.py27_cplex1270.double_list_to_C_array}
   523098    9.723    0.000    9.723    0.000 {map}
        2    9.685    4.842   21.787   10.894 cutpool.py:19(create_cutpool)
  3180001    9.147    0.000    9.191    0.000 _procedural.py:192(__call__)
